inqdata
178
2014-09-24 17:00:00.0
Huichon	Jangsu	Daegak	Sunchon	Songchon	Bonghua	Mirim
67	57	52	1	2	0	1
64	54	49	1	2	0	1
61	52	46	1	2	0	1
58	50	43	1	2	0	1
55	48	41	1	2	0	1
53	46	42	3	2	0	39
54	142	43	2	2	19	39
55	142	39	2	27	19	89
53	144	36	2	27	21	96
59	181	33	2	27	23	107
69	247	30	2	28	30	118
73	318	28	2	28	28	131
75	367	27	2	32	28	147
75	405	26	2	35	44	165
76	439	25	2	39	79	187
76	473	24	2	42	124	214
80	518	23	3	48	175	250
83	572	23	3	56	242	305
88	641	23	3	64	337	375
100	747	23	3	73	451	448
111	875	24	4	82	567	523
136	1013	25	4	94	676	607
181	1143	28	5	111	770	695
243	1252	31	6	138	862	786
327	1338	38	8	177	945	859
446	1400	46	10	212	1023	904
597	1435	55	13	245	1098	937
777	1458	68	16	308	1214	991
964	1483	88	22	388	1345	1073
1160	1549	122	29	512	1520	1216
1364	1703	176	39	648	1715	1404
1562	1950	248	50	768	1968	1607
1744	2292	357	64	858	2211	1779
1878	2698	495	76	873	2430	1888
1954	3097	637	85	839	2600	1917
1961	3406	780	92	783	2703	1874
1918	3569	904	97	724	2736	1777
1848	3581	998	102	682	2713	1655
1764	3472	1068	108	659	2642	1528
1692	3285	1117	116	650	2542	1411
1647	3074	1140	123	629	2424	1307
1620	2848	1141	127	599	2299	1219
1603	2625	1129	128	572	2173	1145
1588	2413	1105	127	546	2052	1079
1571	2214	1071	124	513	1941	1015
1547	2032	1031	119	479	1839	952
1511	1865	989	113	444	1740	889
1464	1717	945	106	410	1645	826
1414	1582	901	98	379	1552	765
1365	1458	858	91	350	1462	709
1314	1345	815	84	326	1374	656
1259	1243	774	78	302	1289	607
1195	1150	733	72	281	1207	562
1128	1067	695	66	263	1130	520
1055	992	659	61	246	1057	483
982	925	625	56	230	988	448
911	865	592	52	216	924	417
845	810	562	48	204	864	389
782	760	534	45	192	809	362
725	714	508	42	181	758	339
672	671	483	39	171	711	317
625	631	460	36	162	667	297
582	593	438	34	154	627	279
543	558	418	31	145	590	262
507	526	399	29	139	556	247
475	495	382	28	131	524	232
446	467	365	26	125	495	220
419	441	350	24	119	468	207
395	417	335	23	114	443	196
372	394	321	22	108	420	186
351	373	308	20	104	398	176
333	354	296	19	100	378	167
315	336	285	18	95	359	159
299	319	274	17	91	342	152
284	304	263	16	87	325	145
270	289	254	16	84	310	137
256	275	244	15	81	296	131
245	263	236	14	78	283	125
233	251	227	13	75	270	120
222	239	219	13	72	258	115
213	229	212	12	70	247	109
203	219	205	12	67	237	105
194	210	198	11	64	227	101
186	201	191	11	62	218	97
179	193	185	10	60	209	93
172	185	179	10	58	201	89
165	178	174	9	56	193	86
158	171	168	9	53	185	83
152	164	163	9	52	178	80
146	158	158	8	50	172	77
141	152	153	8	49	165	74
136	147	149	8	48	159	71
130	141	145	7	47	154	69
126	136	140	7	44	148	66
122	131	136	7	43	143	64
118	127	132	7	41	138	62
113	123	129	6	41	134	60
110	118	125	6	40	129	58
107	114	122	6	38	125	56
102	111	119	6	38	121	55
99	107	115	5	37	117	53
96	104	112	5	35	113	50
93	100	109	5	34	110	49
90	97	107	5	33	106	47
88	94	104	5	32	103	46
85	91	101	5	31	100	46
82	89	99	4	31	97	44
80	86	96	4	30	94	43
77	84	94	4	29	91	41
76	81	92	4	28	89	40
74	79	89	4	28	86	39
71	77	87	4	28	84	38
69	74	85	4	27	81	37
68	72	83	4	26	79	36
66	70	81	3	25	77	35
63	68	79	3	24	75	34
62	67	78	3	24	73	33
60	65	76	3	23	71	32
59	63	74	3	23	69	31
57	61	73	3	22	67	31
56	60	71	3	21	65	30
55	58	69	3	21	64	29
54	57	68	3	21	62	28
52	55	67	3	20	61	28
51	54	65	3	20	59	27
49	53	64	3	20	58	26
49	51	62	3	20	56	26
47	50	61	2	18	55	25
46	49	60	2	18	54	25
45	48	59	2	18	52	24
44	47	57	2	18	51	23
43	46	56	2	17	50	23
42	45	55	2	17	49	22
41	44	54	2	17	48	22
40	43	53	2	17	47	22
39	42	52	2	17	46	21
38	41	51	2	16	45	20
38	40	50	2	15	44	20
37	39	49	2	15	43	20
36	38	48	2	15	42	19
35	37	47	2	14	41	19
35	37	46	2	13	40	19
33	36	46	2	13	39	19
33	35	45	2	13	38	17
32	34	44	2	13	37	17
32	34	43	2	13	37	17
31	33	42	2	13	36	17
30	32	42	2	12	35	16
30	32	41	2	12	35	16
30	31	40	1	12	34	16
29	30	39	1	12	33	16
28	30	39	1	12	33	16
27	29	38	1	12	32	14
27	29	38	1	11	31	14
27	28	37	1	10	31	14
27	28	36	1	10	30	14
25	27	36	1	10	30	14
25	27	35	1	10	29	14
25	26	34	1	10	28	13
24	26	34	1	10	28	13
24	25	33	1	10	27	13
24	25	33	1	10	27	13
24	24	32	1	10	26	13
22	24	32	1	9	26	12
22	23	31	1	9	25	12
22	23	31	1	9	25	11
22	23	30	1	9	25	11
21	22	30	1	9	24	11
21	22	29	1	9	24	11
21	21	29	1	9	23	11
20	21	29	1	9	23	11
19	21	28	1	9	22	11
19	20	28	1	9	22	11
19	20	27	1	9	22	10
19	20	27	1	8	21	10
19	19	26	1	8	21	10
18	19	26	1	8	21	10
18	19	26	1	8	20	10
